container_index,title,text,image_url,all_images,status,link,all_links,advertiser,is_promoted,time_period
1,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQF4rRbgDEe24A/image-shrink_1280/B4DZVHbabEHwAM-/0/1740660124453/1200x628jpg?e=1746900000&v=beta&t=6qd0YNNT0-wut3gMPpbRJQdDM6-tj_XJecDQNQhiO8E']",Active,/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625448623', '/ad-library/detail/625448623']",adidas Overview,True,all-time
2,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQF4rRbgDEe24A/image-shrink_1280/B4DZVHbabEHwAM-/0/1740660124453/1200x628jpg?e=1746900000&v=beta&t=6qd0YNNT0-wut3gMPpbRJQdDM6-tj_XJecDQNQhiO8E']",Active,/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625448623?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625448623', '/ad-library/detail/625448623']",adidas Overview,True,all-time
3,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
4,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
5,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF* on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
6,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQEv2lATBMa3sA/image_627_1200/B56ZVHdKXeHsAY-/0/1740660581980/1200x628jpg?e=1746900000&v=beta&t=KPXiRCB-1stkKSl6NRGH4icvHNJrXHHuehJVXvXoqC0']",Active,/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625552593', '/ad-library/detail/625552593']",adidas Overview,True,all-time
7,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,Promoted,https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4,"['https://media.licdn.com/dms/image/v2/D4D0BAQEtrMmAS9YYVQ/company-logo_100_100/company-logo_100_100/0/1739201515508/puma_logo?e=1751500800&v=beta&t=YKsGY9OHdSFPfzhLVWdU7IEi03SriZxwF5txzd2__C4', 'https://media.licdn.com/dms/image/v2/D4D10AQEv2lATBMa3sA/image_627_1200/B56ZVHdKXeHsAY-/0/1740660581980/1200x628jpg?e=1746900000&v=beta&t=KPXiRCB-1stkKSl6NRGH4icvHNJrXHHuehJVXvXoqC0']",Active,/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image,"['/ad-library/detail/625552593?trk=ad_library_ad_preview_content_image', '/ad-library/detail/625552593', '/ad-library/detail/625552593']",adidas Overview,True,all-time
8,No title found,PUMA Group,No image found,[],Active,No link found,[],adidas Overview,,all-time
9,Meet PHENOM: An exclusive sale with EXTRA 15% OFF for elites.,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
10,"As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…","As a Fortune 500 or Unicorn employee, you’ve unlocked EXTRA 15% OFF on best-selling PUMA styles, because elite talent…",No image found,[],Active,No link found,[],adidas Overview,,all-time
