company_name,company_id,url,industry,location,company_size,followers,organization_type,website,about,snapshot_date,all_time_ads,last_30_days_ads
Apple,162479,https://www.linkedin.com/company/apple,Computers and Electronics Manufacturing,"Cupertino, California","10,001+ employees",17821556,Public Company,https://www.apple.com/careers,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own. Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more.",2025-05-13,2063,237
Nike,2029,https://www.linkedin.com/company/nike,Retail,"Beaverton, OR","10,001+ employees",5851997,Public Company,https://nike.com/careers,N/A,2025-05-13,62,11
Meta,10667,https://www.linkedin.com/company/meta,Software Development,"Menlo Park, CA","10,001+ employees",10920180,Public Company,https://www.metacareers.com/,"Meta's mission is to build the future of human connection and the technology that makes it possible. Our technologies help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. To help create a safe and respectful online space, we encourage constructive conversations on this page. Please note the following: • Start with an open mind. Whether you agree or disagree, engage with empathy. • Comments violating our Community Standards will be removed or hidden. Please treat everybody with respect. • Keep it constructive. Use your interactions here to learn about and grow your understanding of others. • Our moderators are here to uphold these guidelines for the benefit of everyone, every day. • If you are seeking support for issues related to your Facebook account, please reference our Help Center (https://www.facebook.com/help) or Help Community (https://www.facebook.com/help/community). For a full listing of our jobs, visit https://www.metacareers.com",2025-05-13,659,103
Amazon,1586,https://www.linkedin.com/company/amazon,Software Development,"Seattle, WA","10,001+ employees",34198633,Public Company,https://www.aboutamazon.com/,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking. We are driven by the excitement of building technologies, inventing products, and providing services that change lives. We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one. Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world. Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer top of mind. You'll also hear us say that at Amazon, it's always ""Day 1."" What do we mean? That our approach remains the same as it was on Amazon's very first day - to make smart, fast decisions, stay nimble, invent, and focus on delighting our customers.",2025-05-13,1931,575
Microsoft,1035,https://www.linkedin.com/company/microsoft,Software Development,"Redmond, Washington","10,001+ employees",25401161,Public Company,https://news.microsoft.com/,"Every company has a mission. What's ours? To empower every person and every organization to achieve more. We believe technology can and should be a force for good and that meaningful innovation contributes to a brighter world in the future and today. Our culture doesn’t just encourage curiosity; it embraces it. Each day we make progress together by showing up as our authentic selves. We show up with a learn-it-all mentality. We show up cheering on others, knowing their success doesn't diminish our own. We show up every day open to learning our own biases, changing our behavior, and inviting in differences. Because impact matters. Microsoft operates in 190 countries and is made up of approximately 228,000 passionate employees worldwide.",2025-05-13,11433,1473
Netflix,165158,https://www.linkedin.com/company/netflix,Entertainment Providers,"Los Gatos, CA","10,001+ employees",10895083,Public Company,https://jobs.netflix.com/?utm_campaign=LIHomePage&utm_source=linkedin,"Netflix is one of the world's leading entertainment services, with over 300 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.",2025-05-13,98,5
adidas,3748,https://www.linkedin.com/company/adidas,Sporting Goods,"Herzogenaurach, Bavaria","10,001+ employees",4006473,Public Company,https://www.adidas-group.com/,"Inspired by our heritage, we push the boundaries of culture and human performance. Through sport, we have the power to change lives. Headquartered in Herzogenaurach, Germany, we employ more than 59,200 people across the globe.",2025-05-13,12,11
Spotify,207470,https://www.linkedin.com/company/spotify,Musicians,"Stockholm, Stockholm County","5,001-10,000 employees",4128868,Public Company,https://www.lifeatspotify.com/,"Our mission is to unlock the potential of human creativity—by giving a million creative artists the opportunity to live off their art and billions of fans the opportunity to enjoy and be inspired by it. Spotify transformed music listening forever when it launched in Sweden in 2008. Discover, manage and share over 70m tracks for free, or upgrade to Spotify Premium to access exclusive features including offline mode, improved sound quality, and an ad-free music listening experience. Today, Spotify is the most popular global audio streaming service with 365m users, including 165m subscribers across 178 markets. We are the largest driver of revenue to the music business today.",2025-05-13,2,2
Adobe,1480,https://www.linkedin.com/company/adobe,Software Development,"San Jose, CA","10,001+ employees",4988638,Public Company,https://www.adobe.com/,"Adobe is the global leader in digital media and digital marketing solutions. Our creative, marketing and document solutions empower everyone – from emerging artists to global brands – to bring digital creations to life and deliver immersive, compelling experiences to the right person at the right moment for the best results. In short, Adobe is everywhere, and we’re changing the world through digital experiences.",2025-05-13,1762,280
Twitter,96622,https://www.linkedin.com/company/twitter,Software Development,"San Francisco, CA","5,001-10,000 employees",1578496,Public Company,https://twitter.com/,N/A,2025-05-13,0,0
Tesla,15564,https://www.linkedin.com/company/tesla-motors,Motor Vehicle Manufacturing,"Austin, Texas","10,001+ employees",12240129,Public Company,https://www.tesla.com/careers,"Tesla is accelerating the world’s transition to sustainable abundance. To achieve our mission, we're building a world powered by solar, enabled by battery storage and transported by electric vehicles. We’re committed to hiring and developing top talent from around the world for any given discipline. Headquartered in Texas, we operate six huge, vertically integrated factories across three continents. With over 100,000 employees, our teams take a first-principles approach to designing, building, selling and servicing our products in-house. Our world-class teams operate with a non-conventional philosophy of inter-disciplinary collaboration. Each member of the team is expected to challenge and to be challenged, to create, and to innovate. We’re tackling the world’s most difficult and important problems—and we wouldn’t succeed without our shared passion for making the world a better place.",2025-05-13,7,0
IBM,1009,https://www.linkedin.com/company/ibm,IT Services and IT Consulting,"Armonk, New York, NY","10,001+ employees",18235378,Public Company,https://www.ibm.com/,"At IBM, we do more than work. We create. We create as technologists, developers, and engineers. We create with our partners. We create with our competitors. If you're searching for ways to make the world work better through technology and infrastructure, software and consulting, then we want to work with you. We're here to help every creator turn their ""what if"" into what is. Let's create something that will change everything.",2025-05-13,3616,410
Google,1441,https://www.linkedin.com/company/google,Software Development,"Mountain View, CA","10,001+ employees",37286671,Public Company,https://goo.gle/3DLEokh,"A problem isn't truly solved until it's solved for all. Googlers build products that help create opportunities for everyone, whether down the street or across the globe. Bring your insight, imagination and a healthy disregard for the impossible. Bring everything that makes you unique. Together, we can build for everyone. Check out our career opportunities at goo.gle/3DLEokh",2025-05-13,1533,285
LinkedIn,1337,https://www.linkedin.com/company/linkedin,Software Development,"Sunnyvale, CA","10,001+ employees",30773889,Public Company,https://careers.linkedin.com/,"Founded in 2003, LinkedIn connects the world's professionals to make them more productive and successful. With more than 1 billion members worldwide, including executives from every Fortune 500 company, LinkedIn is the world's largest professional network. The company has a diversified business model with revenue coming from Talent Solutions, Marketing Solutions, Sales Solutions and Premium Subscriptions products. Headquartered in Silicon Valley, LinkedIn has offices across the globe..",2025-05-13,3394,1246
